sub	trial	freqCond	stim	truePair	stimSide	paITI	paTrialStart	paTrialEnd	paITIStart	paITIEnd	
 122.000000	 1.000000	 5.000000	 c7.jpg	 s19.jpeg	 1.000000	 3.454545e+00	 2.803143e+05	 2.803193e+05	 2.803193e+05	 2.803227e+05
 122.000000	 2.000000	 5.000000	 c12.jpg	 s29.jpeg	 2.000000	 5.636364e+00	 2.803228e+05	 2.803278e+05	 2.803278e+05	 2.803334e+05
 122.000000	 3.000000	 1.000000	 c21.jpg	 s22.jpeg	 2.000000	 5.636364e+00	 2.803335e+05	 2.803385e+05	 2.803385e+05	 2.803441e+05
 122.000000	 4.000000	 1.000000	 c10.jpg	 s24.jpeg	 1.000000	 4.181818e+00	 2.803441e+05	 2.803491e+05	 2.803491e+05	 2.803533e+05
 122.000000	 5.000000	 1.000000	 c18.jpg	 s17.jpeg	 2.000000	 3.454545e+00	 2.803534e+05	 2.803584e+05	 2.803584e+05	 2.803618e+05
 122.000000	 6.000000	 5.000000	 c22.jpg	 s28.jpeg	 2.000000	 3.090909e+00	 2.803618e+05	 2.803668e+05	 2.803668e+05	 2.803699e+05
 122.000000	 7.000000	 1.000000	 c19.jpg	 s11.jpeg	 2.000000	 6	 2.803700e+05	 2.803750e+05	 2.803750e+05	 2.803810e+05
 122.000000	 8.000000	 1.000000	 c16.jpg	 s14.jpeg	 2.000000	 2.363636e+00	 2.803810e+05	 2.803860e+05	 2.803860e+05	 2.803884e+05
 122.000000	 9.000000	 1.000000	 c11.jpg	 s23.jpeg	 1.000000	 4.909091e+00	 2.803884e+05	 2.803934e+05	 2.803934e+05	 2.803983e+05
 122.000000	 10.000000	 5.000000	 c4.jpg	 s3.jpeg	 2.000000	 5.272727e+00	 2.803984e+05	 2.804034e+05	 2.804034e+05	 2.804086e+05
 122.000000	 11.000000	 5.000000	 c5.jpg	 s27.jpeg	 1.000000	 2	 2.804087e+05	 2.804137e+05	 2.804137e+05	 2.804157e+05
 122.000000	 12.000000	 5.000000	 c15.jpg	 s13.jpeg	 1.000000	 3.818182e+00	 2.804157e+05	 2.804207e+05	 2.804207e+05	 2.804245e+05
 122.000000	 13.000000	 5.000000	 c20.jpg	 s30.jpeg	 1.000000	 4.181818e+00	 2.804246e+05	 2.804296e+05	 2.804296e+05	 2.804338e+05
 122.000000	 14.000000	 5.000000	 c23.jpg	 s21.jpeg	 2.000000	 4.545455e+00	 2.804338e+05	 2.804388e+05	 2.804388e+05	 2.804434e+05
 122.000000	 15.000000	 1.000000	 c2.jpg	 s2.jpeg	 1.000000	 5.272727e+00	 2.804434e+05	 2.804484e+05	 2.804484e+05	 2.804537e+05
 122.000000	 16.000000	 1.000000	 c6.jpg	 s18.jpeg	 1.000000	 3.818182e+00	 2.804537e+05	 2.804587e+05	 2.804587e+05	 2.804625e+05
 122.000000	 17.000000	 1.000000	 c17.jpg	 s26.jpeg	 1.000000	 2	 2.804626e+05	 2.804676e+05	 2.804676e+05	 2.804696e+05
 122.000000	 18.000000	 5.000000	 c3.jpg	 s10.jpeg	 2.000000	 2.727273e+00	 2.804696e+05	 2.804746e+05	 2.804746e+05	 2.804773e+05
 122.000000	 19.000000	 1.000000	 c13.jpg	 s1.jpeg	 1.000000	 3.090909e+00	 2.804774e+05	 2.804824e+05	 2.804824e+05	 2.804855e+05
 122.000000	 20.000000	 5.000000	 c14.jpg	 s25.jpeg	 1.000000	 4.909091e+00	 2.804855e+05	 2.804905e+05	 2.804905e+05	 2.804954e+05
 122.000000	 21.000000	 1.000000	 c8.jpg	 s16.jpeg	 2.000000	 4.545455e+00	 2.804955e+05	 2.805005e+05	 2.805005e+05	 2.805050e+05
 122.000000	 22.000000	 1.000000	 c1.jpg	 s20.jpeg	 2.000000	 2.727273e+00	 2.805051e+05	 2.805101e+05	 2.805101e+05	 2.805128e+05
 122.000000	 23.000000	 5.000000	 c9.jpg	 s12.jpeg	 1.000000	 6	 2.805128e+05	 2.805178e+05	 2.805178e+05	 2.805238e+05
 122.000000	 24.000000	 5.000000	 c24.jpg	 s15.jpeg	 2.000000	 2.363636e+00	 2.805239e+05	 2.805289e+05	 2.805289e+05	 2.805312e+05
 122.000000	 0.000000	 	 beginningITI	 	 	 3	 	 	 2.803112e+05	 2.803142e+05
 122.000000	 25.000000	 	 endingITI	 	 	 3	 	 	 2.805313e+05	 2.805343e+05
 122.000000	 26.000000	 	 endScreen	 	 	 6	 	 	 2.805343e+05	 2.805403e+05
