sub	trial	freqCond	stim	truePair	stimSide	paITI	paTrialStart	paTrialEnd	paITIStart	paITIEnd
141	1	5	 c3.jpg	 s30.jpeg	1	6	3.00E+00	8.00E+00	8.00E+00	1.40E+01
141	2	5	 c4.jpg	 s16.jpeg	2	2.36E+00	1.40E+01	1.90E+01	1.90E+01	2.14E+01
141	3	1	 c16.jpg	 s12.jpeg	2	6	2.14E+01	2.64E+01	2.64E+01	3.24E+01
141	4	5	 c12.jpg	 s1.jpeg	2	2.73E+00	3.24E+01	3.74E+01	3.74E+01	4.01E+01
141	5	1	 c8.jpg	 s3.jpeg	2	3.82E+00	4.01E+01	4.51E+01	4.51E+01	4.89E+01
141	6	1	 c10.jpg	 s17.jpeg	1	4.91E+00	4.89E+01	5.39E+01	5.39E+01	5.88E+01
141	7	5	 c23.jpg	 s2.jpeg	1	3.09E+00	5.88E+01	6.38E+01	6.38E+01	6.69E+01
141	8	5	 c7.jpg	 s29.jpeg	2	5.64E+00	6.69E+01	7.19E+01	7.19E+01	7.76E+01
141	9	1	 c2.jpg	 s22.jpeg	2	4.55E+00	7.76E+01	8.26E+01	8.26E+01	8.71E+01
141	10	5	 c14.jpg	 s24.jpeg	1	3.45E+00	8.71E+01	9.21E+01	9.21E+01	9.56E+01
141	11	1	 c19.jpg	 s18.jpeg	2	3.09E+00	9.56E+01	1.01E+02	1.01E+02	1.04E+02
141	12	5	 c20.jpg	 s23.jpeg	2	2	1.04E+02	1.09E+02	1.09E+02	1.11E+02
141	13	1	 c6.jpg	 s26.jpeg	1	2.36E+00	1.11E+02	1.16E+02	1.16E+02	1.18E+02
141	14	1	 c13.jpg	 s10.jpeg	2	2.73E+00	1.18E+02	1.23E+02	1.23E+02	1.26E+02
141	15	5	 c5.jpg	 s27.jpeg	1	5.27E+00	1.26E+02	1.31E+02	1.31E+02	1.36E+02
141	16	1	 c1.jpg	 s13.jpeg	2	5.27E+00	1.36E+02	1.41E+02	1.41E+02	1.46E+02
141	17	1	 c21.jpg	 s14.jpeg	1	5.64E+00	1.46E+02	1.51E+02	1.51E+02	1.57E+02
141	18	1	 c17.jpg	 s19.jpeg	1	2	1.57E+02	1.62E+02	1.62E+02	1.64E+02
141	19	5	 c24.jpg	 s21.jpeg	2	4.55E+00	1.64E+02	1.69E+02	1.69E+02	1.73E+02
141	20	5	 c9.jpg	 s25.jpeg	2	4.18E+00	1.73E+02	1.78E+02	1.78E+02	1.83E+02
141	21	1	 c11.jpg	 s15.jpeg	1	3.45E+00	1.83E+02	1.88E+02	1.88E+02	1.91E+02
141	22	5	 c22.jpg	 s28.jpeg	1	4.91E+00	1.91E+02	1.96E+02	1.96E+02	2.01E+02
141	23	5	 c15.jpg	 s11.jpeg	1	3.82E+00	2.01E+02	2.06E+02	2.06E+02	2.10E+02
141	24	1	 c18.jpg	 s20.jpeg	1	4.18E+00	2.10E+02	2.15E+02	2.15E+02	2.19E+02
141	0	 	 beginningITI	 	 	3	 	 	0.00E+00	3.00E+00
141	25	 	 endingITI	 	 	3	 	 	2.19E+02	2.22E+02
141	26	 	 endScreen	 	 	6	 	 	2.22E+02	2.28E+02
