sub	cbVersion	trial	stim	freqCond	freqITI	freqTaskResp	freqTaskRT	freqTrialStart	freqTrialEnd	freqTrialITIStart	freqTrialITIEnd	taskVersion	block
141	1	1	 p10.jpg	5	5.64E+00	1	1.24E+00	3.00E+00	5.00E+00	5.00E+00	1.06E+01	 A	2
141	1	2	 p4.jpg	5	2.36E+00	1	1.44E+00	1.06E+01	1.26E+01	1.26E+01	1.50E+01	 A	2
141	1	3	 p11.jpg	5	6	1	1.57E+00	1.50E+01	1.70E+01	1.70E+01	2.30E+01	 A	2
141	1	4	 p15.jpg	1	5.27E+00	 	 	2.30E+01	2.50E+01	2.50E+01	3.03E+01	 A	2
141	1	5	 p13.jpg	5	2.73E+00	1	1.13E+00	3.03E+01	3.23E+01	3.23E+01	3.50E+01	 A	2
141	1	6	 p14.jpg	5	4.18E+00	1	1.21E+00	3.50E+01	3.70E+01	3.70E+01	4.12E+01	 A	2
141	1	7	 p20.jpg	1	5.64E+00	1	1.00E+00	4.12E+01	4.32E+01	4.32E+01	4.88E+01	 A	2
141	1	8	 p16.jpg	1	4.18E+00	1	1.11E+00	4.88E+01	5.08E+01	5.08E+01	5.50E+01	 A	2
141	1	9	 p6.jpg	5	3.09E+00	1	1.25E+00	5.50E+01	5.70E+01	5.70E+01	6.01E+01	 A	2
141	1	10	 p6.jpg	5	2.73E+00	2	9.53E-01	6.01E+01	6.21E+01	6.21E+01	6.48E+01	 A	2
141	1	11	 p14.jpg	5	3.45E+00	2	1.11E+00	6.48E+01	6.68E+01	6.68E+01	7.03E+01	 A	2
141	1	12	 p4.jpg	5	3.09E+00	2	9.80E-01	7.03E+01	7.23E+01	7.23E+01	7.54E+01	 A	2
141	1	13	 p6.jpg	5	4.91E+00	2	8.57E-01	7.54E+01	7.74E+01	7.74E+01	8.23E+01	 A	2
141	1	14	 p22.jpg	1	4.55E+00	1	1.41E+00	8.23E+01	8.43E+01	8.43E+01	8.88E+01	 A	2
141	1	15	 p9.jpg	5	2.36E+00	1	1.37E+00	8.88E+01	9.08E+01	9.08E+01	9.32E+01	 A	2
141	1	16	 p3.jpg	5	6	1	1.35E+00	9.32E+01	9.52E+01	9.52E+01	1.01E+02	 A	2
141	1	17	 p10.jpg	5	5.27E+00	2	1.10E+00	1.01E+02	1.03E+02	1.03E+02	1.08E+02	 A	2
141	1	18	 p7.jpg	5	3.45E+00	1	1.14E+00	1.08E+02	1.10E+02	1.10E+02	1.14E+02	 A	2
141	1	19	 p7.jpg	5	4.55E+00	2	9.82E-01	1.14E+02	1.16E+02	1.16E+02	1.20E+02	 A	2
141	1	20	 p23.jpg	5	4.91E+00	1	1.14E+00	1.20E+02	1.22E+02	1.22E+02	1.27E+02	 A	2
141	1	21	 p8.jpg	5	2.73E+00	1	1.09E+00	1.27E+02	1.29E+02	1.29E+02	1.32E+02	 A	2
141	1	22	 p23.jpg	5	4.18E+00	2	1.01E+00	1.32E+02	1.34E+02	1.34E+02	1.38E+02	 A	2
141	1	23	 p3.jpg	5	2	2	8.86E-01	1.38E+02	1.40E+02	1.40E+02	1.42E+02	 A	2
141	1	24	 p8.jpg	5	5.27E+00	2	9.05E-01	1.42E+02	1.44E+02	1.44E+02	1.50E+02	 A	2
141	1	25	 p11.jpg	5	4.55E+00	2	1.12E+00	1.50E+02	1.52E+02	1.52E+02	1.56E+02	 A	2
141	1	26	 p11.jpg	5	3.45E+00	2	9.20E-01	1.56E+02	1.58E+02	1.58E+02	1.62E+02	 A	2
141	1	27	 p2.jpg	5	2.36E+00	1	1.25E+00	1.62E+02	1.64E+02	1.64E+02	1.66E+02	 A	2
141	1	28	 p6.jpg	5	3.09E+00	2	9.63E-01	1.66E+02	1.68E+02	1.68E+02	1.71E+02	 A	2
141	1	29	 p11.jpg	5	2	2	9.04E-01	1.71E+02	1.73E+02	1.73E+02	1.75E+02	 A	2
141	1	30	 p10.jpg	5	2	2	8.55E-01	1.75E+02	1.77E+02	1.77E+02	1.79E+02	 A	2
141	1	31	 p14.jpg	5	5.64E+00	2	1.06E+00	1.79E+02	1.81E+02	1.81E+02	1.87E+02	 A	2
141	1	32	 p4.jpg	5	5.27E+00	2	8.03E-01	1.87E+02	1.89E+02	1.89E+02	1.94E+02	 A	2
141	1	33	 p7.jpg	5	4.55E+00	2	7.40E-01	1.94E+02	1.96E+02	1.96E+02	2.00E+02	 A	2
141	1	34	 p10.jpg	5	2	2	6.79E-01	2.00E+02	2.02E+02	2.02E+02	2.04E+02	 A	2
141	1	35	 p9.jpg	5	6	2	9.75E-01	2.04E+02	2.06E+02	2.06E+02	2.12E+02	 A	2
141	1	36	 p3.jpg	5	5.64E+00	2	6.76E-01	2.12E+02	2.14E+02	2.14E+02	2.20E+02	 A	2
141	1	37	 p2.jpg	5	6	2	6.39E-01	2.20E+02	2.22E+02	2.22E+02	2.28E+02	 A	2
141	1	38	 p23.jpg	5	3.45E+00	2	6.46E-01	2.28E+02	2.30E+02	2.30E+02	2.34E+02	 A	2
141	1	39	 p14.jpg	5	3.82E+00	2	6.25E-01	2.34E+02	2.36E+02	2.36E+02	2.39E+02	 A	2
141	1	40	 p4.jpg	5	4.55E+00	2	6.58E-01	2.39E+02	2.41E+02	2.41E+02	2.46E+02	 A	2
141	1	41	 p1.jpg	1	2.36E+00	1	1.11E+00	2.46E+02	2.48E+02	2.48E+02	2.50E+02	 A	2
141	1	42	 p9.jpg	5	2.36E+00	2	8.46E-01	2.50E+02	2.52E+02	2.52E+02	2.55E+02	 A	2
141	1	43	 p10.jpg	5	3.45E+00	2	8.12E-01	2.55E+02	2.57E+02	2.57E+02	2.60E+02	 A	2
141	1	44	 p13.jpg	5	3.82E+00	2	9.78E-01	2.60E+02	2.62E+02	2.62E+02	2.66E+02	 A	2
