sub	trial	stim	freqCond	truePair	foilLowFreq	foilHighFreq	foilNovel	truePairPos	foilLowFreqPos	foilHighFreqPos	foilNovelPos	memResp	memRT	memTrialStart	memTrialEnd	memTrialITI	memTrialITIStart	memTrialITIEnd	block
141	25	 c3.jpg	5	 s30.jpeg	 s26.jpeg	 s16.jpeg	 s31.jpeg	4	2	3	1	4	1.50E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
0	 																		
141	26	 c7.jpg	5	 s29.jpeg	 s15.jpeg	 s30.jpeg	 s33.jpeg	3	4	1	2	3	1.72E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
0	 																		
141	27	 c9.jpg	5	 s25.jpeg	 s13.jpeg	 s21.jpeg	 s9.jpeg	4	2	1	3	4	1.57E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
1	 																		
141	28	 c24.jpg	5	 s21.jpeg	 s22.jpeg	 s23.jpeg	 s35.jpeg	4	1	2	3	4	1.45E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
1	 																		
141	29	 c12.jpg	5	 s1.jpeg	 s14.jpeg	 s24.jpeg	 s32.jpeg	1	3	2	4	2	1.67E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
1	 																		
141	30	 c15.jpg	5	 s11.jpeg	 s3.jpeg	 s29.jpeg	 s4.jpeg	2	4	3	1	2	1.26E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
1	 																		
141	31	 c20.jpg	5	 s23.jpeg	 s10.jpeg	 s25.jpeg	 s7.jpeg	2	1	4	3	2	2.13E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
1	 																		
141	32	 c20.jpg	5	 s23.jpeg	 s10.jpeg	 s25.jpeg	 s7.jpeg	2	1	4	3	2	1.11E+00	3.71E+05	3.71E+05	5.00E-01	3.71E+05	3.71E+05	1
1	 																		
