sub	trial	freqCond	stim	truePair	stimSide	paITI	paTrialStart	paTrialEnd	paITIStart	paITIEnd	
 156.000000	 1.000000	 1.000000	 p16.jpg	 f12.jpg	 1.000000	 3.818182e+00	 8.968461e+04	 8.968961e+04	 8.968961e+04	 8.969343e+04
 156.000000	 2.000000	 1.000000	 p5.jpg	 f11.jpg	 1.000000	 6	 8.969348e+04	 8.969848e+04	 8.969849e+04	 8.970449e+04
 156.000000	 3.000000	 1.000000	 p22.jpg	 f24.jpg	 2.000000	 5.272727e+00	 8.970454e+04	 8.970954e+04	 8.970954e+04	 8.971482e+04
 156.000000	 4.000000	 5.000000	 p7.jpg	 f22.jpg	 2.000000	 2.727273e+00	 8.971486e+04	 8.971986e+04	 8.971986e+04	 8.972259e+04
 156.000000	 5.000000	 1.000000	 p1.jpg	 f29.jpg	 1.000000	 5.636364e+00	 8.972264e+04	 8.972764e+04	 8.972764e+04	 8.973328e+04
 156.000000	 6.000000	 5.000000	 p14.jpg	 f18.jpg	 2.000000	 2	 8.973332e+04	 8.973832e+04	 8.973833e+04	 8.974033e+04
 156.000000	 7.000000	 5.000000	 p9.jpg	 f16.jpg	 1.000000	 3.454545e+00	 8.974036e+04	 8.974536e+04	 8.974537e+04	 8.974882e+04
 156.000000	 8.000000	 5.000000	 p13.jpg	 f19.jpg	 2.000000	 6	 8.974888e+04	 8.975388e+04	 8.975388e+04	 8.975988e+04
 156.000000	 9.000000	 5.000000	 p6.jpg	 f17.jpg	 2.000000	 5.272727e+00	 8.975993e+04	 8.976493e+04	 8.976494e+04	 8.977021e+04
 156.000000	 10.000000	 5.000000	 p11.jpg	 f2.jpg	 1.000000	 5.636364e+00	 8.977025e+04	 8.977525e+04	 8.977526e+04	 8.978089e+04
 156.000000	 11.000000	 1.000000	 p21.jpg	 f14.jpg	 2.000000	 2.363636e+00	 8.978093e+04	 8.978593e+04	 8.978594e+04	 8.978830e+04
 156.000000	 12.000000	 1.000000	 p24.jpg	 f25.jpg	 2.000000	 4.545455e+00	 8.978835e+04	 8.979335e+04	 8.979335e+04	 8.979790e+04
 156.000000	 13.000000	 5.000000	 p8.jpg	 f3.jpg	 2.000000	 2.363636e+00	 8.979794e+04	 8.980294e+04	 8.980294e+04	 8.980531e+04
 156.000000	 14.000000	 5.000000	 p2.jpg	 f21.jpg	 2.000000	 4.181818e+00	 8.980535e+04	 8.981035e+04	 8.981035e+04	 8.981453e+04
 156.000000	 15.000000	 5.000000	 p3.jpg	 f10.jpg	 1.000000	 4.545455e+00	 8.981459e+04	 8.981959e+04	 8.981959e+04	 8.982414e+04
 156.000000	 16.000000	 5.000000	 p4.jpg	 f1.jpg	 1.000000	 3.090909e+00	 8.982418e+04	 8.982918e+04	 8.982918e+04	 8.983228e+04
 156.000000	 17.000000	 1.000000	 p18.jpg	 f28.jpg	 2.000000	 3.090909e+00	 8.983233e+04	 8.983733e+04	 8.983733e+04	 8.984042e+04
 156.000000	 18.000000	 1.000000	 p20.jpg	 f13.jpg	 2.000000	 3.454545e+00	 8.984047e+04	 8.984547e+04	 8.984547e+04	 8.984892e+04
 156.000000	 19.000000	 1.000000	 p15.jpg	 f26.jpg	 1.000000	 4.181818e+00	 8.984896e+04	 8.985396e+04	 8.985397e+04	 8.985815e+04
 156.000000	 20.000000	 1.000000	 p17.jpg	 f23.jpg	 1.000000	 4.909091e+00	 8.985819e+04	 8.986319e+04	 8.986319e+04	 8.986810e+04
 156.000000	 21.000000	 1.000000	 p19.jpg	 f30.jpg	 2.000000	 2	 8.986816e+04	 8.987316e+04	 8.987317e+04	 8.987517e+04
 156.000000	 22.000000	 5.000000	 p23.jpg	 f27.jpg	 1.000000	 4.909091e+00	 8.987521e+04	 8.988021e+04	 8.988022e+04	 8.988513e+04
 156.000000	 23.000000	 5.000000	 p10.jpg	 f15.jpg	 1.000000	 3.818182e+00	 8.988517e+04	 8.989017e+04	 8.989018e+04	 8.989400e+04
 156.000000	 24.000000	 1.000000	 p12.jpg	 f20.jpg	 1.000000	 2.727273e+00	 8.989404e+04	 8.989904e+04	 8.989905e+04	 8.990178e+04
 156.000000	 0.000000	 	 beginningITI	 	 	 3	 	 	 8.968156e+04	 8.968456e+04
 156.000000	 25.000000	 	 endingITI	 	 	 3	 	 	 8.990179e+04	 8.990479e+04
 156.000000	 26.000000	 	 endScreen	 	 	 6	 	 	 8.990482e+04	 8.991082e+04
