sub	trial	freqCond	stim	truePair	stimSide	paITI	paTrialStart	paTrialEnd	paITIStart	paITIEnd	
 158.000000	 1.000000	 1.000000	 p16.jpg	 f23.jpg	 1.000000	 4.545455e+00	 3.376905e+05	 3.376955e+05	 3.376955e+05	 3.377001e+05
 158.000000	 2.000000	 5.000000	 p4.jpg	 f13.jpg	 1.000000	 5.636364e+00	 3.377001e+05	 3.377051e+05	 3.377051e+05	 3.377107e+05
 158.000000	 3.000000	 5.000000	 p11.jpg	 f24.jpg	 1.000000	 2.727273e+00	 3.377108e+05	 3.377158e+05	 3.377158e+05	 3.377185e+05
 158.000000	 4.000000	 5.000000	 p3.jpg	 f15.jpg	 2.000000	 4.909091e+00	 3.377186e+05	 3.377236e+05	 3.377236e+05	 3.377285e+05
 158.000000	 5.000000	 5.000000	 p10.jpg	 f29.jpg	 1.000000	 4.181818e+00	 3.377285e+05	 3.377335e+05	 3.377335e+05	 3.377377e+05
 158.000000	 6.000000	 5.000000	 p13.jpg	 f3.jpg	 1.000000	 3.818182e+00	 3.377377e+05	 3.377427e+05	 3.377427e+05	 3.377466e+05
 158.000000	 7.000000	 1.000000	 p12.jpg	 f26.jpg	 2.000000	 2	 3.377466e+05	 3.377516e+05	 3.377516e+05	 3.377536e+05
 158.000000	 8.000000	 5.000000	 p6.jpg	 f30.jpg	 2.000000	 4.545455e+00	 3.377536e+05	 3.377586e+05	 3.377586e+05	 3.377632e+05
 158.000000	 9.000000	 1.000000	 p1.jpg	 f12.jpg	 1.000000	 3.454545e+00	 3.377632e+05	 3.377682e+05	 3.377682e+05	 3.377717e+05
 158.000000	 10.000000	 1.000000	 p5.jpg	 f16.jpg	 1.000000	 4.181818e+00	 3.377717e+05	 3.377767e+05	 3.377767e+05	 3.377809e+05
 158.000000	 11.000000	 1.000000	 p18.jpg	 f11.jpg	 2.000000	 3.090909e+00	 3.377809e+05	 3.377859e+05	 3.377859e+05	 3.377890e+05
 158.000000	 12.000000	 5.000000	 p14.jpg	 f20.jpg	 1.000000	 5.272727e+00	 3.377891e+05	 3.377941e+05	 3.377941e+05	 3.377994e+05
 158.000000	 13.000000	 1.000000	 p17.jpg	 f28.jpg	 1.000000	 6	 3.377994e+05	 3.378044e+05	 3.378044e+05	 3.378104e+05
 158.000000	 14.000000	 5.000000	 p23.jpg	 f21.jpg	 2.000000	 2.363636e+00	 3.378105e+05	 3.378155e+05	 3.378155e+05	 3.378178e+05
 158.000000	 15.000000	 1.000000	 p21.jpg	 f22.jpg	 2.000000	 5.636364e+00	 3.378179e+05	 3.378229e+05	 3.378229e+05	 3.378285e+05
 158.000000	 16.000000	 5.000000	 p7.jpg	 f10.jpg	 2.000000	 2	 3.378285e+05	 3.378335e+05	 3.378335e+05	 3.378355e+05
 158.000000	 17.000000	 5.000000	 p8.jpg	 f2.jpg	 1.000000	 3.454545e+00	 3.378356e+05	 3.378406e+05	 3.378406e+05	 3.378440e+05
 158.000000	 18.000000	 1.000000	 p19.jpg	 f1.jpg	 2.000000	 5.272727e+00	 3.378441e+05	 3.378491e+05	 3.378491e+05	 3.378544e+05
 158.000000	 19.000000	 1.000000	 p24.jpg	 f25.jpg	 1.000000	 4.909091e+00	 3.378544e+05	 3.378594e+05	 3.378594e+05	 3.378643e+05
 158.000000	 20.000000	 1.000000	 p22.jpg	 f17.jpg	 2.000000	 2.727273e+00	 3.378644e+05	 3.378694e+05	 3.378694e+05	 3.378721e+05
 158.000000	 21.000000	 5.000000	 p9.jpg	 f27.jpg	 2.000000	 6	 3.378721e+05	 3.378771e+05	 3.378771e+05	 3.378831e+05
 158.000000	 22.000000	 5.000000	 p2.jpg	 f19.jpg	 2.000000	 3.090909e+00	 3.378832e+05	 3.378882e+05	 3.378882e+05	 3.378913e+05
 158.000000	 23.000000	 1.000000	 p20.jpg	 f18.jpg	 2.000000	 3.818182e+00	 3.378913e+05	 3.378963e+05	 3.378963e+05	 3.379001e+05
 158.000000	 24.000000	 1.000000	 p15.jpg	 f14.jpg	 1.000000	 2.363636e+00	 3.379002e+05	 3.379052e+05	 3.379052e+05	 3.379075e+05
 158.000000	 0.000000	 	 beginningITI	 	 	 3	 	 	 3.376875e+05	 3.376905e+05
 158.000000	 25.000000	 	 endingITI	 	 	 3	 	 	 3.379076e+05	 3.379106e+05
 158.000000	 26.000000	 	 endScreen	 	 	 6	 	 	 3.379106e+05	 3.379166e+05
