sub	cbVersion	trial	stim	freqCond	freqITI	freqTaskResp	freqTaskRT	freqTrialStart	freqTrialEnd	freqTrialITIStart	freqTrialITIEnd	taskVersion	block	
 162.000000	 2.000000	 1.000000	 p21.jpg	 5.000000	 2.727273e+00	 1	 1.002314e+00	 4.439515e+05	 4.439535e+05	 4.439535e+05	 4.439562e+05	 B	 1.000000
 162.000000	 2.000000	 2.000000	 p24.jpg	 5.000000	 6	 1	 7.103977e-01	 4.439563e+05	 4.439583e+05	 4.439583e+05	 4.439643e+05	 B	 1.000000
 162.000000	 2.000000	 3.000000	 p24.jpg	 5.000000	 6	 2	 7.798615e-01	 4.439643e+05	 4.439663e+05	 4.439663e+05	 4.439723e+05	 B	 1.000000
 162.000000	 2.000000	 4.000000	 p1.jpg	 5.000000	 4.545455e+00	 1	 6.919715e-01	 4.439724e+05	 4.439744e+05	 4.439744e+05	 4.439789e+05	 B	 1.000000
 162.000000	 2.000000	 5.000000	 p12.jpg	 5.000000	 2.363636e+00	 1	 8.120118e-01	 4.439790e+05	 4.439810e+05	 4.439810e+05	 4.439833e+05	 B	 1.000000
 162.000000	 2.000000	 6.000000	 p20.jpg	 5.000000	 5.636364e+00	 1	 6.754700e-01	 4.439834e+05	 4.439854e+05	 4.439854e+05	 4.439910e+05	 B	 1.000000
 162.000000	 2.000000	 7.000000	 p19.jpg	 5.000000	 2	 1	 7.005290e-01	 4.439910e+05	 4.439930e+05	 4.439931e+05	 4.439951e+05	 B	 1.000000
 162.000000	 2.000000	 8.000000	 p21.jpg	 5.000000	 5.636364e+00	 2	 1.460405e+00	 4.439951e+05	 4.439971e+05	 4.439971e+05	 4.440027e+05	 B	 1.000000
 162.000000	 2.000000	 9.000000	 p16.jpg	 5.000000	 4.909091e+00	 1	 9.243804e-01	 4.440028e+05	 4.440048e+05	 4.440048e+05	 4.440097e+05	 B	 1.000000
 162.000000	 2.000000	 10.000000	 p20.jpg	 5.000000	 4.181818e+00	 1	 1.044043e+00	 4.440097e+05	 4.440117e+05	 4.440117e+05	 4.440159e+05	 B	 1.000000
 162.000000	 2.000000	 11.000000	 p22.jpg	 5.000000	 4.181818e+00	 1	 6.401620e-01	 4.440159e+05	 4.440179e+05	 4.440179e+05	 4.440221e+05	 B	 1.000000
 162.000000	 2.000000	 12.000000	 p7.jpg	 1.000000	 2.363636e+00	 1	 8.653007e-01	 4.440222e+05	 4.440242e+05	 4.440242e+05	 4.440265e+05	 B	 1.000000
 162.000000	 2.000000	 13.000000	 p16.jpg	 5.000000	 2	 2	 7.851188e-01	 4.440266e+05	 4.440286e+05	 4.440286e+05	 4.440306e+05	 B	 1.000000
 162.000000	 2.000000	 14.000000	 p20.jpg	 5.000000	 3.818182e+00	 2	 7.838235e-01	 4.440306e+05	 4.440326e+05	 4.440326e+05	 4.440364e+05	 B	 1.000000
 162.000000	 2.000000	 15.000000	 p16.jpg	 5.000000	 4.545455e+00	 2	 6.343297e-01	 4.440365e+05	 4.440385e+05	 4.440385e+05	 4.440430e+05	 B	 1.000000
 162.000000	 2.000000	 16.000000	 p19.jpg	 5.000000	 4.545455e+00	 2	 8.266984e-01	 4.440431e+05	 4.440451e+05	 4.440451e+05	 4.440496e+05	 B	 1.000000
 162.000000	 2.000000	 17.000000	 p22.jpg	 5.000000	 5.636364e+00	 2	 7.261432e-01	 4.440496e+05	 4.440516e+05	 4.440516e+05	 4.440573e+05	 B	 1.000000
 162.000000	 2.000000	 18.000000	 p17.jpg	 5.000000	 4.909091e+00	 2	 1.112489e+00	 4.440573e+05	 4.440593e+05	 4.440593e+05	 4.440642e+05	 B	 1.000000
 162.000000	 2.000000	 19.000000	 p5.jpg	 5.000000	 4.909091e+00	 2	 7.724934e-01	 4.440643e+05	 4.440663e+05	 4.440663e+05	 4.440712e+05	 B	 1.000000
 162.000000	 2.000000	 20.000000	 p21.jpg	 5.000000	 5.272727e+00	 2	 9.991986e-01	 4.440712e+05	 4.440732e+05	 4.440732e+05	 4.440785e+05	 B	 1.000000
 162.000000	 2.000000	 21.000000	 p5.jpg	 5.000000	 4.181818e+00	 2	 1.191893e+00	 4.440785e+05	 4.440805e+05	 4.440805e+05	 4.440847e+05	 B	 1.000000
 162.000000	 2.000000	 22.000000	 p18.jpg	 5.000000	 2.727273e+00	 1	 9.716375e-01	 4.440848e+05	 4.440868e+05	 4.440868e+05	 4.440895e+05	 B	 1.000000
 162.000000	 2.000000	 23.000000	 p4.jpg	 1.000000	 6	 1	 1.549010e+00	 4.440895e+05	 4.440915e+05	 4.440915e+05	 4.440975e+05	 B	 1.000000
 162.000000	 2.000000	 24.000000	 p1.jpg	 5.000000	 5.272727e+00	 1	 9.214828e-01	 4.440976e+05	 4.440996e+05	 4.440996e+05	 4.441048e+05	 B	 1.000000
 162.000000	 2.000000	 25.000000	 p12.jpg	 5.000000	 6	 2	 8.805554e-01	 4.441049e+05	 4.441069e+05	 4.441069e+05	 4.441129e+05	 B	 1.000000
 162.000000	 2.000000	 26.000000	 p22.jpg	 5.000000	 4.545455e+00	 2	 1.304257e+00	 4.441129e+05	 4.441149e+05	 4.441149e+05	 4.441194e+05	 B	 1.000000
 162.000000	 2.000000	 27.000000	 p17.jpg	 5.000000	 3.818182e+00	 2	 1.961141e+00	 4.441195e+05	 4.441215e+05	 4.441215e+05	 4.441253e+05	 B	 1.000000
 162.000000	 2.000000	 28.000000	 p19.jpg	 5.000000	 4.909091e+00	 2	 1.148206e+00	 4.441253e+05	 4.441273e+05	 4.441273e+05	 4.441322e+05	 B	 1.000000
 162.000000	 2.000000	 29.000000	 p24.jpg	 5.000000	 3.454545e+00	 1	 1.230659e+00	 4.441323e+05	 4.441343e+05	 4.441343e+05	 4.441377e+05	 B	 1.000000
 162.000000	 2.000000	 30.000000	 p21.jpg	 5.000000	 2.363636e+00	 2	 1.115688e+00	 4.441378e+05	 4.441398e+05	 4.441398e+05	 4.441421e+05	 B	 1.000000
 162.000000	 2.000000	 31.000000	 p17.jpg	 5.000000	 4.181818e+00	 2	 1.434894e+00	 4.441422e+05	 4.441442e+05	 4.441442e+05	 4.441484e+05	 B	 1.000000
 162.000000	 2.000000	 32.000000	 p5.jpg	 5.000000	 3.090909e+00	 2	 8.351084e-01	 4.441484e+05	 4.441504e+05	 4.441504e+05	 4.441535e+05	 B	 1.000000
 162.000000	 2.000000	 33.000000	 p24.jpg	 5.000000	 2.363636e+00	 2	 1.102772e+00	 4.441535e+05	 4.441555e+05	 4.441555e+05	 4.441579e+05	 B	 1.000000
 162.000000	 2.000000	 34.000000	 p21.jpg	 5.000000	 2	 2	 9.157358e-01	 4.441579e+05	 4.441599e+05	 4.441599e+05	 4.441619e+05	 B	 1.000000
 162.000000	 2.000000	 35.000000	 p6.jpg	 1.000000	 5.272727e+00	 1	 9.634041e-01	 4.441620e+05	 4.441640e+05	 4.441640e+05	 4.441692e+05	 B	 1.000000
 162.000000	 2.000000	 36.000000	 p18.jpg	 5.000000	 3.818182e+00	 2	 8.401126e-01	 4.441693e+05	 4.441713e+05	 4.441713e+05	 4.441751e+05	 B	 1.000000
 162.000000	 2.000000	 37.000000	 p15.jpg	 5.000000	 2	 1	 9.548554e-01	 4.441751e+05	 4.441771e+05	 4.441771e+05	 4.441791e+05	 B	 1.000000
 162.000000	 2.000000	 38.000000	 p13.jpg	 1.000000	 3.454545e+00	 1	 9.180647e-01	 4.441792e+05	 4.441812e+05	 4.441812e+05	 4.441846e+05	 B	 1.000000
 162.000000	 2.000000	 39.000000	 p10.jpg	 1.000000	 3.090909e+00	 1	 8.201083e-01	 4.441847e+05	 4.441867e+05	 4.441867e+05	 4.441898e+05	 B	 1.000000
 162.000000	 2.000000	 40.000000	 p22.jpg	 5.000000	 5.636364e+00	 2	 6.951060e-01	 4.441898e+05	 4.441918e+05	 4.441918e+05	 4.441974e+05	 B	 1.000000
 162.000000	 2.000000	 41.000000	 p16.jpg	 5.000000	 3.818182e+00	 2	 8.272130e-01	 4.441975e+05	 4.441995e+05	 4.441995e+05	 4.442033e+05	 B	 1.000000
 162.000000	 2.000000	 42.000000	 p17.jpg	 5.000000	 2.363636e+00	 2	 7.280305e-01	 4.442033e+05	 4.442053e+05	 4.442053e+05	 4.442077e+05	 B	 1.000000
 162.000000	 2.000000	 43.000000	 p1.jpg	 5.000000	 4.545455e+00	 2	 1.086986e+00	 4.442077e+05	 4.442097e+05	 4.442097e+05	 4.442143e+05	 B	 1.000000
 162.000000	 2.000000	 44.000000	 p15.jpg	 5.000000	 3.454545e+00	 2	 9.378788e-01	 4.442143e+05	 4.442163e+05	 4.442163e+05	 4.442197e+05	 B	 1.000000
 162.000000	 2.000000	 45.000000	 p8.jpg	 1.000000	 5.636364e+00	 1	 8.833562e-01	 4.442198e+05	 4.442218e+05	 4.442218e+05	 4.442274e+05	 B	 1.000000
 162.000000	 2.000000	 46.000000	 p18.jpg	 5.000000	 5.272727e+00	 2	 1.025639e+00	 4.442275e+05	 4.442295e+05	 4.442295e+05	 4.442347e+05	 B	 1.000000
 162.000000	 2.000000	 47.000000	 p24.jpg	 5.000000	 3.818182e+00	 2	 1.616206e+00	 4.442348e+05	 4.442368e+05	 4.442368e+05	 4.442406e+05	 B	 1.000000
 162.000000	 2.000000	 48.000000	 p11.jpg	 1.000000	 2	 1	 1.263873e+00	 4.442406e+05	 4.442426e+05	 4.442426e+05	 4.442446e+05	 B	 1.000000
 162.000000	 2.000000	 49.000000	 p16.jpg	 5.000000	 2.727273e+00	 2	 7.860665e-01	 4.442447e+05	 4.442467e+05	 4.442467e+05	 4.442494e+05	 B	 1.000000
 162.000000	 2.000000	 50.000000	 p18.jpg	 5.000000	 6	 2	 8.424492e-01	 4.442495e+05	 4.442515e+05	 4.442515e+05	 4.442575e+05	 B	 1.000000
 162.000000	 2.000000	 51.000000	 p20.jpg	 5.000000	 3.090909e+00	 2	 1.184965e+00	 4.442575e+05	 4.442595e+05	 4.442595e+05	 4.442626e+05	 B	 1.000000
 162.000000	 2.000000	 52.000000	 p19.jpg	 5.000000	 2.727273e+00	 2	 1.095505e+00	 4.442626e+05	 4.442646e+05	 4.442646e+05	 4.442674e+05	 B	 1.000000
 162.000000	 2.000000	 53.000000	 p22.jpg	 5.000000	 3.454545e+00	 2	 1.548008e+00	 4.442674e+05	 4.442694e+05	 4.442694e+05	 4.442729e+05	 B	 1.000000
 162.000000	 2.000000	 54.000000	 p19.jpg	 5.000000	 5.272727e+00	 2	 6.350637e-01	 4.442729e+05	 4.442749e+05	 4.442749e+05	 4.442802e+05	 B	 1.000000
 162.000000	 2.000000	 55.000000	 p15.jpg	 5.000000	 5.636364e+00	 1	 8.889108e-01	 4.442802e+05	 4.442822e+05	 4.442822e+05	 4.442878e+05	 B	 1.000000
 162.000000	 2.000000	 56.000000	 p20.jpg	 5.000000	 4.909091e+00	 2	 1.221031e+00	 4.442879e+05	 4.442899e+05	 4.442899e+05	 4.442948e+05	 B	 1.000000
 162.000000	 2.000000	 57.000000	 p23.jpg	 1.000000	 4.181818e+00	 1	 1.058458e+00	 4.442948e+05	 4.442968e+05	 4.442968e+05	 4.443010e+05	 B	 1.000000
 162.000000	 2.000000	 58.000000	 p5.jpg	 5.000000	 3.454545e+00	 2	 1.518454e+00	 4.443010e+05	 4.443030e+05	 4.443030e+05	 4.443065e+05	 B	 1.000000
 162.000000	 2.000000	 59.000000	 p2.jpg	 1.000000	 4.909091e+00	 1	 8.157336e-01	 4.443065e+05	 4.443085e+05	 4.443085e+05	 4.443134e+05	 B	 1.000000
 162.000000	 2.000000	 60.000000	 p15.jpg	 5.000000	 2.363636e+00	 2	 8.978451e-01	 4.443135e+05	 4.443155e+05	 4.443155e+05	 4.443178e+05	 B	 1.000000
 162.000000	 2.000000	 61.000000	 p17.jpg	 5.000000	 2	 2	 1.530362e+00	 4.443179e+05	 4.443199e+05	 4.443199e+05	 4.443219e+05	 B	 1.000000
 162.000000	 2.000000	 62.000000	 p9.jpg	 1.000000	 2.727273e+00	 1	 9.190565e-01	 4.443219e+05	 4.443239e+05	 4.443239e+05	 4.443266e+05	 B	 1.000000
 162.000000	 2.000000	 63.000000	 p12.jpg	 5.000000	 2.727273e+00	 2	 6.883538e-01	 4.443267e+05	 4.443287e+05	 4.443287e+05	 4.443314e+05	 B	 1.000000
 162.000000	 2.000000	 64.000000	 p12.jpg	 5.000000	 3.090909e+00	 2	 9.497045e-01	 4.443315e+05	 4.443335e+05	 4.443335e+05	 4.443366e+05	 B	 1.000000
 162.000000	 2.000000	 65.000000	 p5.jpg	 5.000000	 3.090909e+00	 2	 1.631714e+00	 4.443366e+05	 4.443386e+05	 4.443386e+05	 4.443417e+05	 B	 1.000000
 162.000000	 2.000000	 66.000000	 p18.jpg	 5.000000	 3.454545e+00	 2	 6.206216e-01	 4.443417e+05	 4.443437e+05	 4.443437e+05	 4.443472e+05	 B	 1.000000
 162.000000	 2.000000	 67.000000	 p14.jpg	 1.000000	 4.545455e+00	 1	 1.607779e+00	 4.443472e+05	 4.443492e+05	 4.443492e+05	 4.443538e+05	 B	 1.000000
 162.000000	 2.000000	 68.000000	 p15.jpg	 5.000000	 3.090909e+00	 1	 8.775033e-01	 4.443538e+05	 4.443558e+05	 4.443558e+05	 4.443589e+05	 B	 1.000000
 162.000000	 2.000000	 69.000000	 p1.jpg	 5.000000	 6	 2	 1.126698e+00	 4.443589e+05	 4.443609e+05	 4.443609e+05	 4.443669e+05	 B	 1.000000
 162.000000	 2.000000	 70.000000	 p12.jpg	 5.000000	 4.181818e+00	 2	 6.317837e-01	 4.443670e+05	 4.443690e+05	 4.443690e+05	 4.443731e+05	 B	 1.000000
 162.000000	 2.000000	 71.000000	 p1.jpg	 5.000000	 5.272727e+00	 2	 6.115937e-01	 4.443732e+05	 4.443752e+05	 4.443752e+05	 4.443804e+05	 B	 1.000000
 162.000000	 2.000000	 72.000000	 p3.jpg	 1.000000	 3.818182e+00	 1	 8.881595e-01	 4.443805e+05	 4.443825e+05	 4.443825e+05	 4.443863e+05	 B	 1.000000
 162.000000	 2.000000	 0.000000	 beginningITI	 	 3	 	 	 	 	 4.439484e+05	 4.439514e+05	 B	 1.000000
 162.000000	 2.000000	 73.000000	 endingITI	 	 3	 	 	 	 	 4.443863e+05	 4.443893e+05	 B	 1.000000
 162.000000	 2.000000	 74.000000	 endScreen	 	 6	 	 	 	 	 4.443894e+05	 4.443954e+05	 B	 1.000000
