sub	cbVersion	trial	stim	freqCond	freqITI	freqTaskResp	freqTaskRT	freqTrialStart	freqTrialEnd	freqTrialITIStart	freqTrialITIEnd	taskVersion	block	
 166.000000	 2.000000	 1.000000	 c9.jpg	 1.000000	 2.363636e+00	 1	 1.599790e+00	 1.569756e+05	 1.569776e+05	 1.569776e+05	 1.569800e+05	 B	 2.000000
 166.000000	 2.000000	 2.000000	 c7.jpg	 1.000000	 4.181818e+00	 1	 7.867988e-01	 1.569801e+05	 1.569821e+05	 1.569821e+05	 1.569863e+05	 B	 2.000000
 166.000000	 2.000000	 3.000000	 c18.jpg	 5.000000	 4.545455e+00	 1	 6.435870e-01	 1.569863e+05	 1.569883e+05	 1.569883e+05	 1.569929e+05	 B	 2.000000
 166.000000	 2.000000	 4.000000	 c1.jpg	 5.000000	 2.363636e+00	 1	 1.464913e+00	 1.569929e+05	 1.569949e+05	 1.569949e+05	 1.569973e+05	 B	 2.000000
 166.000000	 2.000000	 5.000000	 c6.jpg	 5.000000	 2.727273e+00	 1	 8.104616e-01	 1.569973e+05	 1.569993e+05	 1.569993e+05	 1.570021e+05	 B	 2.000000
 166.000000	 2.000000	 6.000000	 c13.jpg	 5.000000	 3.454545e+00	 1	 9.874649e-01	 1.570021e+05	 1.570041e+05	 1.570041e+05	 1.570076e+05	 B	 2.000000
 166.000000	 2.000000	 7.000000	 c18.jpg	 5.000000	 5.272727e+00	 2	 1.034802e+00	 1.570076e+05	 1.570096e+05	 1.570096e+05	 1.570149e+05	 B	 2.000000
 166.000000	 2.000000	 8.000000	 c6.jpg	 5.000000	 3.818182e+00	 2	 1.161459e+00	 1.570149e+05	 1.570169e+05	 1.570169e+05	 1.570207e+05	 B	 2.000000
 166.000000	 2.000000	 9.000000	 c8.jpg	 5.000000	 4.545455e+00	 1	 1.157977e+00	 1.570208e+05	 1.570228e+05	 1.570228e+05	 1.570273e+05	 B	 2.000000
 166.000000	 2.000000	 10.000000	 c11.jpg	 5.000000	 3.090909e+00	 1	 1.323331e+00	 1.570273e+05	 1.570293e+05	 1.570294e+05	 1.570324e+05	 B	 2.000000
 166.000000	 2.000000	 11.000000	 c17.jpg	 5.000000	 6	 1	 1.133017e+00	 1.570325e+05	 1.570345e+05	 1.570345e+05	 1.570405e+05	 B	 2.000000
 166.000000	 2.000000	 12.000000	 c23.jpg	 1.000000	 2.727273e+00	 1	 1.428581e+00	 1.570405e+05	 1.570425e+05	 1.570425e+05	 1.570452e+05	 B	 2.000000
 166.000000	 2.000000	 13.000000	 c19.jpg	 5.000000	 3.454545e+00	 1	 9.020333e-01	 1.570453e+05	 1.570473e+05	 1.570473e+05	 1.570508e+05	 B	 2.000000
 166.000000	 2.000000	 14.000000	 c6.jpg	 5.000000	 4.181818e+00	 2	 1.004246e+00	 1.570508e+05	 1.570528e+05	 1.570528e+05	 1.570570e+05	 B	 2.000000
 166.000000	 2.000000	 15.000000	 c19.jpg	 5.000000	 4.545455e+00	 2	 1.176801e+00	 1.570570e+05	 1.570590e+05	 1.570590e+05	 1.570635e+05	 B	 2.000000
 166.000000	 2.000000	 16.000000	 c1.jpg	 5.000000	 4.181818e+00	 2	 1.475526e+00	 1.570636e+05	 1.570656e+05	 1.570656e+05	 1.570698e+05	 B	 2.000000
 166.000000	 2.000000	 17.000000	 c5.jpg	 1.000000	 6	 1	 1.504489e+00	 1.570698e+05	 1.570718e+05	 1.570718e+05	 1.570778e+05	 B	 2.000000
 166.000000	 2.000000	 18.000000	 c1.jpg	 5.000000	 4.909091e+00	 2	 1.186719e+00	 1.570778e+05	 1.570798e+05	 1.570799e+05	 1.570848e+05	 B	 2.000000
 166.000000	 2.000000	 19.000000	 c15.jpg	 1.000000	 4.545455e+00	 1	 1.065061e+00	 1.570848e+05	 1.570868e+05	 1.570868e+05	 1.570913e+05	 B	 2.000000
 166.000000	 2.000000	 20.000000	 c10.jpg	 5.000000	 6	 1	 1.651009e+00	 1.570914e+05	 1.570934e+05	 1.570934e+05	 1.570994e+05	 B	 2.000000
 166.000000	 2.000000	 21.000000	 c19.jpg	 5.000000	 2	 2	 1.018242e+00	 1.570994e+05	 1.571014e+05	 1.571014e+05	 1.571034e+05	 B	 2.000000
 166.000000	 2.000000	 22.000000	 c10.jpg	 5.000000	 3.818182e+00	 2	 1.429699e+00	 1.571035e+05	 1.571055e+05	 1.571055e+05	 1.571093e+05	 B	 2.000000
 166.000000	 2.000000	 23.000000	 c21.jpg	 5.000000	 5.636364e+00	 	 	 1.571093e+05	 1.571113e+05	 1.571113e+05	 1.571170e+05	 B	 2.000000
 166.000000	 2.000000	 24.000000	 c11.jpg	 5.000000	 2.727273e+00	 2	 1.166661e+00	 1.571170e+05	 1.571190e+05	 1.571190e+05	 1.571217e+05	 B	 2.000000
 166.000000	 2.000000	 25.000000	 c20.jpg	 1.000000	 3.454545e+00	 1	 1.352711e+00	 1.571218e+05	 1.571238e+05	 1.571238e+05	 1.571272e+05	 B	 2.000000
 166.000000	 2.000000	 26.000000	 c21.jpg	 5.000000	 5.272727e+00	 2	 1.128341e+00	 1.571273e+05	 1.571293e+05	 1.571293e+05	 1.571345e+05	 B	 2.000000
 166.000000	 2.000000	 27.000000	 c10.jpg	 5.000000	 4.909091e+00	 2	 1.640384e+00	 1.571346e+05	 1.571366e+05	 1.571366e+05	 1.571415e+05	 B	 2.000000
 166.000000	 2.000000	 28.000000	 c8.jpg	 5.000000	 5.272727e+00	 2	 8.434362e-01	 1.571415e+05	 1.571435e+05	 1.571435e+05	 1.571488e+05	 B	 2.000000
 166.000000	 2.000000	 29.000000	 c19.jpg	 5.000000	 2.363636e+00	 2	 9.012186e-01	 1.571488e+05	 1.571508e+05	 1.571508e+05	 1.571532e+05	 B	 2.000000
 166.000000	 2.000000	 30.000000	 c19.jpg	 5.000000	 3.818182e+00	 2	 9.472047e-01	 1.571532e+05	 1.571552e+05	 1.571552e+05	 1.571590e+05	 B	 2.000000
 166.000000	 2.000000	 31.000000	 c10.jpg	 5.000000	 5.636364e+00	 2	 8.574222e-01	 1.571591e+05	 1.571611e+05	 1.571611e+05	 1.571667e+05	 B	 2.000000
 166.000000	 2.000000	 32.000000	 c13.jpg	 5.000000	 2.727273e+00	 2	 1.720636e+00	 1.571667e+05	 1.571687e+05	 1.571687e+05	 1.571715e+05	 B	 2.000000
 166.000000	 2.000000	 33.000000	 c12.jpg	 1.000000	 2	 1	 1.029893e+00	 1.571715e+05	 1.571735e+05	 1.571735e+05	 1.571755e+05	 B	 2.000000
 166.000000	 2.000000	 34.000000	 c16.jpg	 5.000000	 3.090909e+00	 1	 1.020814e+00	 1.571755e+05	 1.571775e+05	 1.571775e+05	 1.571806e+05	 B	 2.000000
 166.000000	 2.000000	 35.000000	 c14.jpg	 1.000000	 5.272727e+00	 1	 1.119992e+00	 1.571807e+05	 1.571827e+05	 1.571827e+05	 1.571880e+05	 B	 2.000000
 166.000000	 2.000000	 36.000000	 c6.jpg	 5.000000	 6	 2	 7.788360e-01	 1.571880e+05	 1.571900e+05	 1.571900e+05	 1.571960e+05	 B	 2.000000
 166.000000	 2.000000	 37.000000	 c16.jpg	 5.000000	 5.272727e+00	 2	 1.367043e+00	 1.571960e+05	 1.571980e+05	 1.571980e+05	 1.572033e+05	 B	 2.000000
 166.000000	 2.000000	 38.000000	 c24.jpg	 1.000000	 3.818182e+00	 1	 1.306889e+00	 1.572034e+05	 1.572054e+05	 1.572054e+05	 1.572092e+05	 B	 2.000000
 166.000000	 2.000000	 39.000000	 c10.jpg	 5.000000	 4.909091e+00	 2	 7.420921e-01	 1.572092e+05	 1.572112e+05	 1.572112e+05	 1.572161e+05	 B	 2.000000
 166.000000	 2.000000	 40.000000	 c4.jpg	 1.000000	 5.636364e+00	 1	 1.600718e+00	 1.572161e+05	 1.572181e+05	 1.572181e+05	 1.572238e+05	 B	 2.000000
 166.000000	 2.000000	 41.000000	 c11.jpg	 5.000000	 4.181818e+00	 2	 8.667178e-01	 1.572238e+05	 1.572258e+05	 1.572258e+05	 1.572300e+05	 B	 2.000000
 166.000000	 2.000000	 42.000000	 c13.jpg	 5.000000	 4.909091e+00	 2	 1.059183e+00	 1.572300e+05	 1.572320e+05	 1.572320e+05	 1.572369e+05	 B	 2.000000
 166.000000	 2.000000	 43.000000	 c1.jpg	 5.000000	 2	 2	 1.331017e+00	 1.572370e+05	 1.572390e+05	 1.572390e+05	 1.572410e+05	 B	 2.000000
 166.000000	 2.000000	 44.000000	 c21.jpg	 5.000000	 4.909091e+00	 2	 9.861691e-01	 1.572410e+05	 1.572430e+05	 1.572430e+05	 1.572479e+05	 B	 2.000000
