sub	trial	freqCond	stim	truePair	stimSide	paITI	paTrialStart	paTrialEnd	paITIStart	paITIEnd	
 183.000000	 1.000000	 5.000000	 c24.jpg	 s21.jpeg	 1.000000	 5.636364e+00	 8.831283e+04	 8.831783e+04	 8.831783e+04	 8.832347e+04
 183.000000	 2.000000	 1.000000	 c6.jpg	 s27.jpeg	 1.000000	 3.090909e+00	 8.832352e+04	 8.832852e+04	 8.832852e+04	 8.833162e+04
 183.000000	 3.000000	 5.000000	 c23.jpg	 s20.jpeg	 1.000000	 3.818182e+00	 8.833166e+04	 8.833666e+04	 8.833667e+04	 8.834048e+04
 183.000000	 4.000000	 1.000000	 c13.jpg	 s3.jpeg	 2.000000	 2	 8.834052e+04	 8.834552e+04	 8.834552e+04	 8.834753e+04
 183.000000	 5.000000	 1.000000	 c19.jpg	 s25.jpeg	 1.000000	 6	 8.834757e+04	 8.835257e+04	 8.835257e+04	 8.835857e+04
 183.000000	 6.000000	 1.000000	 c10.jpg	 s22.jpeg	 1.000000	 2.363636e+00	 8.835862e+04	 8.836362e+04	 8.836363e+04	 8.836599e+04
 183.000000	 7.000000	 5.000000	 c22.jpg	 s14.jpeg	 1.000000	 4.545455e+00	 8.836602e+04	 8.837102e+04	 8.837102e+04	 8.837557e+04
 183.000000	 8.000000	 5.000000	 c3.jpg	 s28.jpeg	 2.000000	 5.272727e+00	 8.837563e+04	 8.838063e+04	 8.838063e+04	 8.838590e+04
 183.000000	 9.000000	 5.000000	 c4.jpg	 s10.jpeg	 1.000000	 3.090909e+00	 8.838595e+04	 8.839095e+04	 8.839095e+04	 8.839404e+04
 183.000000	 10.000000	 5.000000	 c7.jpg	 s13.jpeg	 2.000000	 2	 8.839408e+04	 8.839908e+04	 8.839908e+04	 8.840108e+04
 183.000000	 11.000000	 1.000000	 c8.jpg	 s18.jpeg	 2.000000	 3.818182e+00	 8.840113e+04	 8.840613e+04	 8.840613e+04	 8.840995e+04
 183.000000	 12.000000	 5.000000	 c12.jpg	 s30.jpeg	 1.000000	 2.363636e+00	 8.840999e+04	 8.841499e+04	 8.841499e+04	 8.841735e+04
 183.000000	 13.000000	 1.000000	 c21.jpg	 s1.jpeg	 2.000000	 4.545455e+00	 8.841739e+04	 8.842239e+04	 8.842239e+04	 8.842694e+04
 183.000000	 14.000000	 1.000000	 c11.jpg	 s23.jpeg	 1.000000	 3.454545e+00	 8.842698e+04	 8.843198e+04	 8.843198e+04	 8.843544e+04
 183.000000	 15.000000	 5.000000	 c14.jpg	 s29.jpeg	 2.000000	 4.181818e+00	 8.843547e+04	 8.844047e+04	 8.844047e+04	 8.844466e+04
 183.000000	 16.000000	 1.000000	 c1.jpg	 s15.jpeg	 2.000000	 2.727273e+00	 8.844472e+04	 8.844972e+04	 8.844972e+04	 8.845245e+04
 183.000000	 17.000000	 1.000000	 c16.jpg	 s12.jpeg	 2.000000	 4.909091e+00	 8.845248e+04	 8.845748e+04	 8.845749e+04	 8.846239e+04
 183.000000	 18.000000	 5.000000	 c9.jpg	 s19.jpeg	 2.000000	 2.727273e+00	 8.846244e+04	 8.846744e+04	 8.846744e+04	 8.847017e+04
 183.000000	 19.000000	 1.000000	 c2.jpg	 s26.jpeg	 1.000000	 5.272727e+00	 8.847022e+04	 8.847522e+04	 8.847522e+04	 8.848049e+04
 183.000000	 20.000000	 1.000000	 c18.jpg	 s2.jpeg	 1.000000	 5.636364e+00	 8.848053e+04	 8.848553e+04	 8.848553e+04	 8.849117e+04
 183.000000	 21.000000	 1.000000	 c17.jpg	 s24.jpeg	 2.000000	 4.181818e+00	 8.849122e+04	 8.849622e+04	 8.849622e+04	 8.850040e+04
 183.000000	 22.000000	 5.000000	 c5.jpg	 s11.jpeg	 2.000000	 6	 8.850044e+04	 8.850544e+04	 8.850545e+04	 8.851145e+04
 183.000000	 23.000000	 5.000000	 c20.jpg	 s17.jpeg	 1.000000	 4.909091e+00	 8.851149e+04	 8.851649e+04	 8.851649e+04	 8.852140e+04
 183.000000	 24.000000	 5.000000	 c15.jpg	 s16.jpeg	 2.000000	 3.454545e+00	 8.852144e+04	 8.852644e+04	 8.852644e+04	 8.852990e+04
 183.000000	 0.000000	 	 beginningITI	 	 	 3	 	 	 8.830978e+04	 8.831279e+04
 183.000000	 25.000000	 	 endingITI	 	 	 3	 	 	 8.852991e+04	 8.853291e+04
 183.000000	 26.000000	 	 endScreen	 	 	 6	 	 	 8.853294e+04	 8.853894e+04
