sub	trial	freqCond	stim	truePair	stimSide	paITI	paTrialStart	paTrialEnd	paITIStart	paITIEnd	
 223.000000	 1.000000	 5.000000	 c3.jpg	 s18.jpeg	 2.000000	 6	 9.039222e+04	 9.039722e+04	 9.039723e+04	 9.040323e+04
 223.000000	 2.000000	 5.000000	 c4.jpg	 s30.jpeg	 2.000000	 4.181818e+00	 9.040328e+04	 9.040828e+04	 9.040828e+04	 9.041246e+04
 223.000000	 3.000000	 1.000000	 c2.jpg	 s26.jpeg	 1.000000	 2.363636e+00	 9.041252e+04	 9.041752e+04	 9.041752e+04	 9.041988e+04
 223.000000	 4.000000	 1.000000	 c13.jpg	 s13.jpeg	 2.000000	 3.090909e+00	 9.041992e+04	 9.042492e+04	 9.042492e+04	 9.042802e+04
 223.000000	 5.000000	 1.000000	 c1.jpg	 s1.jpeg	 1.000000	 4.909091e+00	 9.042808e+04	 9.043308e+04	 9.043308e+04	 9.043799e+04
 223.000000	 6.000000	 1.000000	 c21.jpg	 s25.jpeg	 2.000000	 3.454545e+00	 9.043803e+04	 9.044303e+04	 9.044303e+04	 9.044649e+04
 223.000000	 7.000000	 5.000000	 c15.jpg	 s27.jpeg	 2.000000	 3.454545e+00	 9.044653e+04	 9.045153e+04	 9.045153e+04	 9.045499e+04
 223.000000	 8.000000	 1.000000	 c11.jpg	 s17.jpeg	 2.000000	 6	 9.045503e+04	 9.046003e+04	 9.046003e+04	 9.046603e+04
 223.000000	 9.000000	 1.000000	 c8.jpg	 s28.jpeg	 2.000000	 5.272727e+00	 9.046607e+04	 9.047108e+04	 9.047108e+04	 9.047635e+04
 223.000000	 10.000000	 5.000000	 c20.jpg	 s19.jpeg	 1.000000	 3.090909e+00	 9.047640e+04	 9.048140e+04	 9.048140e+04	 9.048449e+04
 223.000000	 11.000000	 5.000000	 c12.jpg	 s29.jpeg	 1.000000	 2.363636e+00	 9.048454e+04	 9.048954e+04	 9.048954e+04	 9.049191e+04
 223.000000	 12.000000	 5.000000	 c22.jpg	 s12.jpeg	 2.000000	 5.272727e+00	 9.049195e+04	 9.049695e+04	 9.049695e+04	 9.050223e+04
 223.000000	 13.000000	 1.000000	 c6.jpg	 s23.jpeg	 1.000000	 5.636364e+00	 9.050227e+04	 9.050727e+04	 9.050727e+04	 9.051291e+04
 223.000000	 14.000000	 5.000000	 c14.jpg	 s11.jpeg	 2.000000	 5.636364e+00	 9.051294e+04	 9.051794e+04	 9.051795e+04	 9.052358e+04
 223.000000	 15.000000	 1.000000	 c19.jpg	 s22.jpeg	 1.000000	 2	 9.052363e+04	 9.052863e+04	 9.052864e+04	 9.053064e+04
 223.000000	 16.000000	 1.000000	 c10.jpg	 s20.jpeg	 1.000000	 4.545455e+00	 9.053068e+04	 9.053568e+04	 9.053568e+04	 9.054023e+04
 223.000000	 17.000000	 1.000000	 c18.jpg	 s14.jpeg	 1.000000	 2.727273e+00	 9.054026e+04	 9.054526e+04	 9.054526e+04	 9.054799e+04
 223.000000	 18.000000	 5.000000	 c9.jpg	 s2.jpeg	 2.000000	 4.545455e+00	 9.054804e+04	 9.055304e+04	 9.055304e+04	 9.055759e+04
 223.000000	 19.000000	 5.000000	 c7.jpg	 s16.jpeg	 1.000000	 2.727273e+00	 9.055763e+04	 9.056263e+04	 9.056264e+04	 9.056536e+04
 223.000000	 20.000000	 5.000000	 c23.jpg	 s24.jpeg	 1.000000	 3.818182e+00	 9.056541e+04	 9.057041e+04	 9.057041e+04	 9.057423e+04
 223.000000	 21.000000	 5.000000	 c24.jpg	 s21.jpeg	 1.000000	 2	 9.057427e+04	 9.057927e+04	 9.057927e+04	 9.058127e+04
 223.000000	 22.000000	 5.000000	 c5.jpg	 s15.jpeg	 1.000000	 4.909091e+00	 9.058131e+04	 9.058631e+04	 9.058631e+04	 9.059122e+04
 223.000000	 23.000000	 1.000000	 c16.jpg	 s3.jpeg	 2.000000	 3.818182e+00	 9.059126e+04	 9.059626e+04	 9.059627e+04	 9.060009e+04
 223.000000	 24.000000	 1.000000	 c17.jpg	 s10.jpeg	 2.000000	 4.181818e+00	 9.060013e+04	 9.060513e+04	 9.060513e+04	 9.060931e+04
 223.000000	 0.000000	 	 beginningITI	 	 	 3	 	 	 9.038917e+04	 9.039217e+04
 223.000000	 25.000000	 	 endingITI	 	 	 3	 	 	 9.060933e+04	 9.061233e+04
 223.000000	 26.000000	 	 endScreen	 	 	 6	 	 	 9.061236e+04	 9.061836e+04
