sub	cbVersion	trial	stim	freqCond	freqITI	freqTaskResp	freqTaskRT	freqTrialStart	freqTrialEnd	freqTrialITIStart	freqTrialITIEnd	taskVersion	block	
 229.000000	 2.000000	 1.000000	 c17.jpg	 5.000000	 3.454545e+00	 1	 4.379269e-01	 6.147553e+05	 6.147573e+05	 6.147573e+05	 6.147607e+05	 B	 2.000000
 229.000000	 2.000000	 2.000000	 c10.jpg	 5.000000	 5.636364e+00	 1	 6.208683e-01	 6.147608e+05	 6.147628e+05	 6.147628e+05	 6.147684e+05	 B	 2.000000
 229.000000	 2.000000	 3.000000	 c11.jpg	 5.000000	 4.909091e+00	 1	 6.516750e-01	 6.147684e+05	 6.147704e+05	 6.147705e+05	 6.147754e+05	 B	 2.000000
 229.000000	 2.000000	 4.000000	 c15.jpg	 1.000000	 3.454545e+00	 1	 5.396232e-01	 6.147754e+05	 6.147774e+05	 6.147774e+05	 6.147808e+05	 B	 2.000000
 229.000000	 2.000000	 5.000000	 c16.jpg	 5.000000	 4.909091e+00	 1	 4.562779e-01	 6.147809e+05	 6.147829e+05	 6.147829e+05	 6.147878e+05	 B	 2.000000
 229.000000	 2.000000	 6.000000	 c16.jpg	 5.000000	 2.363636e+00	 2	 1.085928e+00	 6.147878e+05	 6.147898e+05	 6.147898e+05	 6.147922e+05	 B	 2.000000
 229.000000	 2.000000	 7.000000	 c18.jpg	 5.000000	 5.272727e+00	 1	 1.090446e+00	 6.147922e+05	 6.147942e+05	 6.147942e+05	 6.147995e+05	 B	 2.000000
 229.000000	 2.000000	 8.000000	 c13.jpg	 5.000000	 4.181818e+00	 1	 9.424532e-01	 6.147995e+05	 6.148015e+05	 6.148015e+05	 6.148057e+05	 B	 2.000000
 229.000000	 2.000000	 9.000000	 c2.jpg	 5.000000	 3.090909e+00	 	 	 6.148057e+05	 6.148077e+05	 6.148077e+05	 6.148108e+05	 B	 2.000000
 229.000000	 2.000000	 10.000000	 c10.jpg	 5.000000	 4.545455e+00	 2	 9.371284e-01	 6.148109e+05	 6.148129e+05	 6.148129e+05	 6.148174e+05	 B	 2.000000
 229.000000	 2.000000	 11.000000	 c22.jpg	 1.000000	 4.181818e+00	 1	 8.305485e-01	 6.148174e+05	 6.148194e+05	 6.148194e+05	 6.148236e+05	 B	 2.000000
 229.000000	 2.000000	 12.000000	 c11.jpg	 5.000000	 4.545455e+00	 2	 8.153699e-01	 6.148237e+05	 6.148257e+05	 6.148257e+05	 6.148302e+05	 B	 2.000000
 229.000000	 2.000000	 13.000000	 c17.jpg	 5.000000	 3.818182e+00	 1	 6.053307e-01	 6.148302e+05	 6.148322e+05	 6.148323e+05	 6.148361e+05	 B	 2.000000
 229.000000	 2.000000	 14.000000	 c3.jpg	 1.000000	 6	 1	 1.309687e+00	 6.148361e+05	 6.148381e+05	 6.148381e+05	 6.148441e+05	 B	 2.000000
 229.000000	 2.000000	 15.000000	 c1.jpg	 5.000000	 4.545455e+00	 1	 1.721529e+00	 6.148441e+05	 6.148461e+05	 6.148462e+05	 6.148507e+05	 B	 2.000000
 229.000000	 2.000000	 16.000000	 c6.jpg	 5.000000	 4.909091e+00	 1	 1.096347e+00	 6.148507e+05	 6.148527e+05	 6.148527e+05	 6.148576e+05	 B	 2.000000
 229.000000	 2.000000	 17.000000	 c1.jpg	 5.000000	 2.363636e+00	 2	 1.256922e+00	 6.148577e+05	 6.148597e+05	 6.148597e+05	 6.148620e+05	 B	 2.000000
 229.000000	 2.000000	 18.000000	 c16.jpg	 5.000000	 3.090909e+00	 2	 7.146176e-01	 6.148621e+05	 6.148641e+05	 6.148641e+05	 6.148672e+05	 B	 2.000000
 229.000000	 2.000000	 19.000000	 c1.jpg	 5.000000	 5.272727e+00	 2	 8.084543e-01	 6.148672e+05	 6.148692e+05	 6.148692e+05	 6.148745e+05	 B	 2.000000
 229.000000	 2.000000	 20.000000	 c2.jpg	 5.000000	 3.818182e+00	 2	 8.466505e-01	 6.148745e+05	 6.148765e+05	 6.148765e+05	 6.148804e+05	 B	 2.000000
 229.000000	 2.000000	 21.000000	 c21.jpg	 5.000000	 2.727273e+00	 1	 1.876907e+00	 6.148804e+05	 6.148824e+05	 6.148824e+05	 6.148851e+05	 B	 2.000000
 229.000000	 2.000000	 22.000000	 c18.jpg	 5.000000	 6	 2	 7.456241e-01	 6.148852e+05	 6.148872e+05	 6.148872e+05	 6.148932e+05	 B	 2.000000
 229.000000	 2.000000	 23.000000	 c12.jpg	 1.000000	 2.363636e+00	 1	 1.216100e+00	 6.148932e+05	 6.148952e+05	 6.148952e+05	 6.148976e+05	 B	 2.000000
 229.000000	 2.000000	 24.000000	 c18.jpg	 5.000000	 2.727273e+00	 2	 6.294430e-01	 6.148976e+05	 6.148996e+05	 6.148996e+05	 6.149023e+05	 B	 2.000000
 229.000000	 2.000000	 25.000000	 c20.jpg	 1.000000	 3.818182e+00	 1	 1.807931e+00	 6.149024e+05	 6.149044e+05	 6.149044e+05	 6.149082e+05	 B	 2.000000
 229.000000	 2.000000	 26.000000	 c13.jpg	 5.000000	 3.454545e+00	 2	 8.849189e-01	 6.149082e+05	 6.149102e+05	 6.149102e+05	 6.149137e+05	 B	 2.000000
 229.000000	 2.000000	 27.000000	 c10.jpg	 5.000000	 2.363636e+00	 2	 8.005578e-01	 6.149137e+05	 6.149157e+05	 6.149157e+05	 6.149181e+05	 B	 2.000000
 229.000000	 2.000000	 28.000000	 c16.jpg	 5.000000	 4.181818e+00	 2	 6.825452e-01	 6.149181e+05	 6.149201e+05	 6.149201e+05	 6.149243e+05	 B	 2.000000
 229.000000	 2.000000	 29.000000	 c17.jpg	 5.000000	 3.090909e+00	 2	 7.267635e-01	 6.149243e+05	 6.149263e+05	 6.149263e+05	 6.149294e+05	 B	 2.000000
 229.000000	 2.000000	 30.000000	 c2.jpg	 5.000000	 3.818182e+00	 2	 5.800428e-01	 6.149294e+05	 6.149314e+05	 6.149314e+05	 6.149353e+05	 B	 2.000000
 229.000000	 2.000000	 31.000000	 c13.jpg	 5.000000	 6	 2	 7.197338e-01	 6.149353e+05	 6.149373e+05	 6.149373e+05	 6.149433e+05	 B	 2.000000
 229.000000	 2.000000	 32.000000	 c18.jpg	 5.000000	 3.454545e+00	 2	 6.102373e-01	 6.149433e+05	 6.149453e+05	 6.149453e+05	 6.149488e+05	 B	 2.000000
 229.000000	 2.000000	 33.000000	 c1.jpg	 5.000000	 3.090909e+00	 2	 8.223206e-01	 6.149488e+05	 6.149508e+05	 6.149508e+05	 6.149539e+05	 B	 2.000000
 229.000000	 2.000000	 34.000000	 c19.jpg	 5.000000	 5.636364e+00	 1	 1.393902e+00	 6.149539e+05	 6.149559e+05	 6.149559e+05	 6.149616e+05	 B	 2.000000
 229.000000	 2.000000	 35.000000	 c4.jpg	 1.000000	 2.727273e+00	 1	 1.439365e+00	 6.149616e+05	 6.149636e+05	 6.149636e+05	 6.149663e+05	 B	 2.000000
 229.000000	 2.000000	 36.000000	 c10.jpg	 5.000000	 5.272727e+00	 2	 8.830360e-01	 6.149664e+05	 6.149684e+05	 6.149684e+05	 6.149736e+05	 B	 2.000000
 229.000000	 2.000000	 37.000000	 c10.jpg	 5.000000	 5.272727e+00	 2	 1.929975e+00	 6.149737e+05	 6.149757e+05	 6.149757e+05	 6.149809e+05	 B	 2.000000
 229.000000	 2.000000	 38.000000	 c23.jpg	 1.000000	 5.636364e+00	 1	 8.176786e-01	 6.149810e+05	 6.149830e+05	 6.149830e+05	 6.149886e+05	 B	 2.000000
 229.000000	 2.000000	 39.000000	 c21.jpg	 5.000000	 4.181818e+00	 2	 1.074044e+00	 6.149887e+05	 6.149907e+05	 6.149907e+05	 6.149948e+05	 B	 2.000000
 229.000000	 2.000000	 40.000000	 c13.jpg	 5.000000	 2	 2	 7.285866e-01	 6.149949e+05	 6.149969e+05	 6.149969e+05	 6.149989e+05	 B	 2.000000
 229.000000	 2.000000	 41.000000	 c8.jpg	 5.000000	 2	 1	 1.620548e+00	 6.149989e+05	 6.150009e+05	 6.150009e+05	 6.150029e+05	 B	 2.000000
 229.000000	 2.000000	 42.000000	 c18.jpg	 5.000000	 4.909091e+00	 2	 6.183654e-01	 6.150029e+05	 6.150049e+05	 6.150049e+05	 6.150099e+05	 B	 2.000000
 229.000000	 2.000000	 43.000000	 c11.jpg	 5.000000	 3.818182e+00	 2	 8.838585e-01	 6.150099e+05	 6.150119e+05	 6.150119e+05	 6.150157e+05	 B	 2.000000
 229.000000	 2.000000	 44.000000	 c21.jpg	 5.000000	 2.727273e+00	 2	 6.232743e-01	 6.150157e+05	 6.150177e+05	 6.150177e+05	 6.150205e+05	 B	 2.000000
 229.000000	 2.000000	 45.000000	 c8.jpg	 5.000000	 6	 2	 6.707509e-01	 6.150205e+05	 6.150225e+05	 6.150225e+05	 6.150285e+05	 B	 2.000000
 229.000000	 2.000000	 46.000000	 c8.jpg	 5.000000	 2	 2	 7.175304e-01	 6.150285e+05	 6.150305e+05	 6.150305e+05	 6.150325e+05	 B	 2.000000
 229.000000	 2.000000	 47.000000	 c7.jpg	 1.000000	 4.909091e+00	 1	 1.503063e+00	 6.150326e+05	 6.150346e+05	 6.150346e+05	 6.150395e+05	 B	 2.000000
 229.000000	 2.000000	 48.000000	 c8.jpg	 5.000000	 6	 2	 6.837272e-01	 6.150395e+05	 6.150415e+05	 6.150415e+05	 6.150475e+05	 B	 2.000000
 229.000000	 2.000000	 49.000000	 c2.jpg	 5.000000	 2	 2	 6.651174e-01	 6.150475e+05	 6.150495e+05	 6.150495e+05	 6.150515e+05	 B	 2.000000
 229.000000	 2.000000	 50.000000	 c21.jpg	 5.000000	 6	 2	 8.356630e-01	 6.150516e+05	 6.150536e+05	 6.150536e+05	 6.150596e+05	 B	 2.000000
 229.000000	 2.000000	 51.000000	 c13.jpg	 5.000000	 4.181818e+00	 2	 6.436627e-01	 6.150596e+05	 6.150616e+05	 6.150616e+05	 6.150658e+05	 B	 2.000000
 229.000000	 2.000000	 52.000000	 c11.jpg	 5.000000	 4.181818e+00	 2	 5.725310e-01	 6.150658e+05	 6.150678e+05	 6.150678e+05	 6.150720e+05	 B	 2.000000
 229.000000	 2.000000	 53.000000	 c19.jpg	 5.000000	 5.636364e+00	 2	 7.346682e-01	 6.150720e+05	 6.150740e+05	 6.150740e+05	 6.150797e+05	 B	 2.000000
 229.000000	 2.000000	 54.000000	 c2.jpg	 5.000000	 4.909091e+00	 2	 7.894975e-01	 6.150797e+05	 6.150817e+05	 6.150817e+05	 6.150866e+05	 B	 2.000000
 229.000000	 2.000000	 55.000000	 c21.jpg	 5.000000	 4.545455e+00	 2	 6.526923e-01	 6.150867e+05	 6.150887e+05	 6.150887e+05	 6.150932e+05	 B	 2.000000
 229.000000	 2.000000	 56.000000	 c9.jpg	 1.000000	 4.545455e+00	 1	 1.340509e+00	 6.150932e+05	 6.150952e+05	 6.150952e+05	 6.150998e+05	 B	 2.000000
 229.000000	 2.000000	 57.000000	 c8.jpg	 5.000000	 2	 2	 5.835095e-01	 6.150998e+05	 6.151018e+05	 6.151018e+05	 6.151038e+05	 B	 2.000000
 229.000000	 2.000000	 58.000000	 c19.jpg	 5.000000	 3.454545e+00	 2	 6.674774e-01	 6.151039e+05	 6.151059e+05	 6.151059e+05	 6.151093e+05	 B	 2.000000
 229.000000	 2.000000	 59.000000	 c17.jpg	 5.000000	 3.090909e+00	 2	 6.676850e-01	 6.151094e+05	 6.151114e+05	 6.151114e+05	 6.151144e+05	 B	 2.000000
 229.000000	 2.000000	 60.000000	 c11.jpg	 5.000000	 5.636364e+00	 2	 6.127507e-01	 6.151145e+05	 6.151165e+05	 6.151165e+05	 6.151221e+05	 B	 2.000000
 229.000000	 2.000000	 61.000000	 c5.jpg	 1.000000	 3.090909e+00	 2	 1.131844e+00	 6.151221e+05	 6.151241e+05	 6.151241e+05	 6.151272e+05	 B	 2.000000
 229.000000	 2.000000	 62.000000	 c14.jpg	 1.000000	 5.272727e+00	 1	 8.479476e-01	 6.151273e+05	 6.151293e+05	 6.151293e+05	 6.151346e+05	 B	 2.000000
 229.000000	 2.000000	 63.000000	 c19.jpg	 5.000000	 2.727273e+00	 2	 1.093708e+00	 6.151346e+05	 6.151366e+05	 6.151366e+05	 6.151393e+05	 B	 2.000000
 229.000000	 2.000000	 64.000000	 c17.jpg	 5.000000	 2.727273e+00	 2	 8.070517e-01	 6.151393e+05	 6.151413e+05	 6.151413e+05	 6.151441e+05	 B	 2.000000
 229.000000	 2.000000	 65.000000	 c19.jpg	 5.000000	 3.454545e+00	 2	 5.905911e-01	 6.151441e+05	 6.151461e+05	 6.151461e+05	 6.151496e+05	 B	 2.000000
 229.000000	 2.000000	 66.000000	 c24.jpg	 1.000000	 2	 1	 9.467266e-01	 6.151496e+05	 6.151516e+05	 6.151516e+05	 6.151536e+05	 B	 2.000000
 229.000000	 2.000000	 67.000000	 c6.jpg	 5.000000	 2.363636e+00	 1	 1.867159e+00	 6.151536e+05	 6.151556e+05	 6.151556e+05	 6.151580e+05	 B	 2.000000
 229.000000	 2.000000	 68.000000	 c6.jpg	 5.000000	 2.363636e+00	 2	 7.968125e-01	 6.151580e+05	 6.151600e+05	 6.151600e+05	 6.151624e+05	 B	 2.000000
 229.000000	 2.000000	 69.000000	 c6.jpg	 5.000000	 4.545455e+00	 2	 7.277432e-01	 6.151624e+05	 6.151644e+05	 6.151644e+05	 6.151689e+05	 B	 2.000000
 229.000000	 2.000000	 70.000000	 c6.jpg	 5.000000	 5.272727e+00	 2	 6.271375e-01	 6.151690e+05	 6.151710e+05	 6.151710e+05	 6.151763e+05	 B	 2.000000
 229.000000	 2.000000	 71.000000	 c16.jpg	 5.000000	 5.636364e+00	 2	 7.392551e-01	 6.151763e+05	 6.151783e+05	 6.151783e+05	 6.151839e+05	 B	 2.000000
 229.000000	 2.000000	 72.000000	 c1.jpg	 5.000000	 3.818182e+00	 2	 9.489711e-01	 6.151840e+05	 6.151860e+05	 6.151860e+05	 6.151898e+05	 B	 2.000000
 229.000000	 2.000000	 0.000000	 beginningITI	 	 3	 	 	 	 	 6.147523e+05	 6.147553e+05	 B	 2.000000
 229.000000	 2.000000	 73.000000	 endingITI	 	 3	 	 	 	 	 6.151898e+05	 6.151928e+05	 B	 2.000000
 229.000000	 2.000000	 74.000000	 endScreen	 	 6	 	 	 	 	 6.151929e+05	 6.151989e+05	 B	 2.000000
